order_n_items,order_basket_value,order_shipping_fee,order_discount,order_order_total,order_is_returned,event_year,event_month,event_day,event_hour,price_average_per_item,customer_country_DE,customer_country_ES,customer_country_FR,customer_country_IT,order_device_mobile,order_device_tablet,order_channel_affiliate,order_channel_direct,order_channel_email,order_channel_seo,order_main_category_electronics,order_main_category_fashion,order_main_category_home,order_main_category_sports
0.25,-0.9089115091471088,0.0,0.0,-0.8658448593002104,False,0.0,0.0,-0.9375,-0.9166666666666666,-0.6927977992616775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.75,-0.025795149062131994,0.0,0.0,-0.006138149002550866,False,0.0,0.0,-0.9375,-0.9166666666666666,-0.28875091612734194,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.75,0.18789581256733207,0.0,0.0,0.2095507159480086,False,0.0,0.0,-0.9375,-0.9166666666666666,2.132051639656203,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,-0.8769746579273267,0.0,0.0,-0.846780012398248,False,0.0,0.0,-0.9375,-0.9166666666666666,-0.7062170180040901,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.75,0.8151549017831071,0.0,0.0,0.842674363065416,False,0.0,0.0,0.9375,1.0,0.11548568582789107,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
-0.25,0.6025915969432446,0.0,0.0,0.6281236979298991,False,0.0,0.0,0.9375,1.0,1.0502574190787117,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.7869232085863008,0.0,0.0,0.8141787176959584,False,0.0,0.0,0.9375,1.0,0.7516535463303524,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.2668317878394297,0.0,0.0,0.2892247030009858,False,0.0,0.0,0.9375,1.0,-0.22512735440492088,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.25,-0.1526162644355172,0.0,0.0,-0.13414497820144106,True,0.0,0.0,0.9375,0.9166666666666666,-0.1838364081710089,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.6318704000161093,0.0,0.0,0.6576762431276104,False,0.0,0.0,0.9375,0.9166666666666666,0.027382588490681963,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.5,0.7699278098287369,0.0,0.0,0.7970244204835315,False,0.0,0.0,0.9375,0.9166666666666666,2.132051639656203,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.6381127858156884,0.0,0.0,0.6373512464304224,True,0.0,0.0,0.9375,0.9166666666666666,-0.06896504995364307,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
-0.75,-0.881807472739904,0.0,0.0,-0.8521051615329113,False,0.0,0.0,0.9375,0.9166666666666666,-0.31517603760949764,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.2702550316650055,0.0,0.0,-0.2528836089064136,False,0.0,0.0,0.9375,0.9166666666666666,-0.2630033618626774,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.5,-0.9696438819584983,0.0,2.5,-1.0008434873629333,False,0.0,0.0,0.9375,0.8333333333333334,-0.6875669803426456,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.3373908841030597,0.0,2.5,0.2711354559404885,False,0.0,0.0,0.9375,0.8333333333333334,-0.1954499102788076,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,-0.6970328530723614,0.0,2.5,-0.7950325708072074,True,0.0,0.0,0.9375,0.8333333333333334,-0.611408425096638,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.5,-0.024103663877729838,0.0,0.0,-0.0044308492799870055,True,0.0,0.0,0.9375,0.8333333333333334,0.9032253328831276,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.3106895822635696,0.0,0.0,0.3334925458074613,False,0.0,0.0,0.9375,0.75,0.351041928988697,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.4298990143071455,0.0,0.0,0.45381652625481456,False,0.0,0.0,0.9375,0.75,0.45132187717739053,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
